#,Country,Population 2023,Land Area(km^2),Migrants(net)
1,China,1439323776,9388211,-348399
2,India,1380004385,2973190,-532687
3,United States,331002651,9147420,954806
4,Indonesia,273523615,1811570,-98955
5,Pakistan,220892340,770880,-233379
6,Brazil,212559417,8358140,21200
7,Nigeria,206139589,910770,-60000
8,Bangladesh,164689383,130170,-369501
9,Russia,145934462,16376870,182456
10,Mexico,128932753,1943950,-60000
11,Japan,126476461,364555,71560
12,Ethiopia,114963588,1000000,30000
13,Philippines,109581078,298170,-67152
14,Egypt,102334404,995450,-38033
15,Vietnam,97338579,310070,-80000
16,DR Congo,89561403,2267050,23861
17,Turkey,84339067,769630,283922
18,Iran,83992949,1628550,-55000
19,Germany,83783942,348560,543822
20,Thailand,69799978,510890,19444
21,United Kingdom,67886011,241930,260650
22,France,65273511,547557,36527
23,Italy,60461826,294140,148943
24,Tanzania,59734218,885800,-40076
25,South Africa,59308690,1213090,145405
26,Myanmar,54409800,653290,-163313
27,Kenya,53771296,569140,-10000
28,South Korea,51269185,97230,11731
29,Colombia,50882891,1109500,204796
30,Spain,46754778,498800,40000
31,Uganda,45741007,199810,168694
32,Argentina,45195774,2736690,4800
33,Algeria,43851044,2381740,-10000
34,Sudan,43849260,1765048,-50000
35,Ukraine,43733762,579320,10000
36,Iraq,40222493,434320,7834
37,Afghanistan,38928346,652860,-62920
38,Poland,37846611,306230,-29395
39,Canada,37742154,9093510,242032
40,Morocco,36910560,446300,-51419
41,Saudi Arabia,34813871,2149690,134979
42,Uzbekistan,33469203,425400,-8863
43,Peru,32971854,1280000,99069
44,Angola,32866272,1246700,6413
45,Malaysia,32365999,328550,50000
46,Mozambique,31255435,786380,-5000
47,Ghana,31072940,227540,-10000
48,Yemen,29825964,527970,-30000
49,Nepal,29136808,143350,41710
50,Venezuela,28435940,882050,-653249
51,Madagascar,27691018,581795,-1500
52,Cameroon,26545863,472710,-4800
53,Côte d'Ivoire,26378274,318000,-8000
54,North Korea,25778816,120410,-5403
55,Australia,25499884,7682300,158246
56,Niger,24206644,1266700,4000
57,Taiwan,23816775,35410,30001
58,Sri Lanka,21413249,62710,-97986
59,Burkina Faso,20903273,273600,-25000
60,Mali,20250833,1220190,-40000
61,Romania,19237691,230170,-73999
62,Malawi,19129952,94280,-16053
63,Chile,19116201,743532,111708
64,Kazakhstan,18776707,2699700,-18000
65,Zambia,18383955,743390,-8000
66,Guatemala,17915568,107160,-9215
67,Ecuador,17643054,248360,36400
68,Syria,17500658,183630,-427391
69,Netherlands,17134872,33720,16000
70,Senegal,16743927,192530,-20000
71,Cambodia,16718965,176520,-30000
72,Chad,16425864,1259200,2000
73,Somalia,15893222,627340,-40000
74,Zimbabwe,14862924,386850,-116858
75,Guinea,13132795,245720,-4000
76,Rwanda,12952218,24670,-9000
77,Benin,12123200,112760,-2000
78,Burundi,11890784,25680,2001
79,Tunisia,11818619,155360,-4000
80,Bolivia,11673021,1083300,-9504
81,Belgium,11589623,30280,48000
82,Haiti,11402528,27560,-35000
83,Cuba,11326616,106440,-14400
84,South Sudan,11193725,610952,-174200
85,Dominican Republic,10847910,48320,-30000
86,Czech Republic (Czechia),10708981,77240,22011
87,Greece,10423054,128900,-16000
88,Jordan,10203134,88780,10220
89,Portugal,10196709,91590,-6000
90,Azerbaijan,10139177,82658,1200
91,Sweden,10099265,410340,40000
92,Honduras,9904607,111890,-6800
93,United Arab Emirates,9890402,83600,40000
94,Hungary,9660351,90530,6000
95,Tajikistan,9537645,139960,-20000
96,Belarus,9449323,202910,8730
97,Austria,9006398,82409,65000
98,Papua New Guinea,8947024,452860,-800
99,Serbia,8737371,87460,4000
100,Israel,8655535,21640,10000
101,Switzerland,8654622,39516,52000
102,Togo,8278724,54390,-2000
103,Sierra Leone,7976983,72180,-4200
104,Hong Kong,7496981,1050,29308
105,Laos,7275560,230800,-14704
106,Paraguay,7132538,397300,-16556
107,Bulgaria,6948445,108560,-4800
108,Libya,6871292,1759540,-1999
109,Lebanon,6825445,10230,-30012
110,Nicaragua,6624554,120340,-21272
111,Kyrgyzstan,6524195,191800,-4000
112,El Salvador,6486205,20720,-40539
113,Turkmenistan,6031200,469930,-5000
114,Singapore,5850342,700,27028
115,Denmark,5792202,42430,15200
116,Finland,5540720,303890,14000
117,Congo,5518087,341500,-4000
118,Slovakia,5459642,48088,1485
119,Norway,5421241,365268,28000
120,Oman,5106626,309500,87400
121,State of Palestine,5101414,6020,-10563
122,Costa Rica,5094118,51060,4200
123,Liberia,5057681,96320,-5000
124,Ireland,4937786,68890,23604
125,Central African Republic,4829767,622980,-40000
126,New Zealand,4822233,263310,14881
127,Mauritania,4649658,1030700,5000
128,Panama,4314767,74340,11200
129,Kuwait,4270571,17820,39520
130,Croatia,4105267,55960,-8001
131,Moldova,4033963,32850,-1387
132,Georgia,3989167,69490,-10000
133,Eritrea,3546421,101000,-39858
134,Uruguay,3473730,175020,-3000
135,Bosnia and Herzegovina,3280819,51000,-21585
136,Mongolia,3278290,1553560,-852
137,Armenia,2963243,28470,-4998
138,Jamaica,2961167,10830,-11332
139,Qatar,2881053,11610,40000
140,Albania,2877797,27400,-14000
141,Puerto Rico,2860853,8870,-97986
142,Lithuania,2722289,62674,-32780
143,Namibia,2540905,823290,-4806
144,Gambia,2416668,10120,-3087
145,Botswana,2351627,566730,3000
146,Gabon,2225734,257670,3260
147,Lesotho,2142249,30360,-10047
148,North Macedonia,2083374,25220,-1000
149,Slovenia,2078938,20140,2000
150,Guinea-Bissau,1968001,28120,-1399
151,Latvia,1886198,62200,-14837
152,Bahrain,1701575,760,47800
153,Equatorial Guinea,1402985,28050,16000
154,Trinidad and Tobago,1399488,5130,-800
155,Estonia,1326535,42390,3911
156,Timor-Leste,1318445,14870,-5385
157,Mauritius,1271768,2030,0
158,Cyprus,1207359,9240,5000
159,Eswatini,1160164,17200,-8353
160,Djibouti,988000,23180,900
161,Fiji,896445,18270,-6202
162,Réunion,895312,2500,-1256
163,Comoros,869601,1861,-2000
164,Guyana,786552,196850,-6000
165,Bhutan,771608,38117,320
166,Solomon Islands,686884,27990,-1600
167,Macao,649335,30,5000
168,Montenegro,628066,13450,-480
169,Luxembourg,625978,2590,9741
170,Western Sahara,597339,266000,5582
171,Suriname,586632,156000,-1000
172,Cabo Verde,555987,4030,-1342
173,Micronesia,548914,700,-2957
174,Maldives,540544,300,11370
175,Malta,441543,320,900
176,Brunei ,437479,5270,0
177,Guadeloupe,400124,1690,-1440
178,Belize,397628,22810,1200
179,Bahamas,393244,10010,1000
180,Martinique,375265,1060,-960
181,Iceland,341243,100250,380
182,Vanuatu,307145,12190,120
183,French Guiana,298682,82200,1200
184,Barbados,287375,430,-79
185,New Caledonia,285498,18280,502
186,French Polynesia,280908,3660,-1000
187,Mayotte,272815,375,0
188,Sao Tome & Principe,219159,960,-1680
189,Samoa,198414,2830,-2803
190,Saint Lucia,183627,610,0
191,Channel Islands,173863,190,1351
192,Guam,168775,540,-506
193,Curaçao,164093,444,515
194,Kiribati,119449,810,-800
195,Grenada,112523,340,-200
196,St. Vincent & Grenadines,110940,390,-200
197,Aruba,106766,180,201
198,Tonga,105695,720,-800
199,U.S. Virgin Islands,104425,350,-451
200,Seychelles,98347,460,-200
201,Antigua and Barbuda,97929,440,0
202,Isle of Man,85033,570, 
203,Andorra,77265,470, 
204,Dominica,71986,750, 
205,Cayman Islands,65722,240, 
206,Bermuda,62278,50, 
207,Marshall Islands,59190,180, 
208,Northern Mariana Islands,57559,460, 
209,Greenland,56770,410450, 
210,American Samoa,55191,200, 
211,Saint Kitts & Nevis,53199,260, 
212,Faeroe Islands,48863,1396, 
213,Sint Maarten,42876,34, 
214,Monaco,39242,1, 
215,Turks and Caicos,38717,950, 
216,Saint Martin,38666,53, 
217,Liechtenstein,38128,160, 
218,San Marino,33931,60, 
219,Gibraltar,33691,10, 
220,British Virgin Islands,30231,150, 
221,Caribbean Netherlands,26223,328, 
222,Palau,18094,460, 
223,Cook Islands,17564,240, 
224,Anguilla,15003,90, 
225,Tuvalu,11792,30, 
226,Wallis & Futuna,11239,140, 
227,Nauru,10824,20, 
228,Saint Barthelemy,9877,21, 
229,Saint Helena,6077,390, 
230,Saint Pierre & Miquelon,5794,230, 
231,Montserrat,4992,100, 
232,Falkland Islands,3480,12170, 
233,Niue,1626,260, 
234,Tokelau,1357,10, 
235,Holy See,801,0, 
