#,country_names,total_cases,new_cases,total_deaths,new_deaths,total_recovered,new_recovered,active_cases,serious_cases,total_tests,population
1,USA,"107,321,664",,"1,168,197                                ",,"105,471,878",,"681,589",782,"1,180,810,621","334,805,269 "
2,India,"44,994,281",,"531,907                                ",,"44,460,884",,"1,490",N/A,"930,797,975","1,406,631,776 "
3,France,"40,138,560",,"167,642                                ",,"39,946,275",+332,"24,643",869,"271,490,188","65,584,518 "
4,Germany,"38,428,685",,"174,352                                ",,"38,240,600",,"13,733",N/A,"122,332,384","83,883,596 "
5,Brazil,"37,671,420",,"703,964                                ",,"36,249,161",,"718,295",N/A,"63,776,166","215,353,593 "
6,Japan,"33,803,572",,"74,694                                ",,N/A,N/A,N/A,83,"100,414,883","125,584,838 "
7,S. Korea,"32,131,606",,"35,017                                ",,"31,928,522","+17,428","168,067",117,"15,804,065","51,329,899 "
8,Italy,"25,897,801",,"190,868                                ",,"25,593,568",,"113,365",56,"273,634,829","60,262,770 "
9,UK,"24,618,436",,"226,278                                ",,"24,392,158",,0,N/A,"522,526,476","68,497,907 "
10,Russia,"22,959,198",,"399,563                                ",,"22,402,524",,"157,111",N/A,"273,400,000","145,805,947 "
11,Turkey,"17,232,066",,"102,174                                ",,N/A,N/A,N/A,,"162,743,369","85,561,976 "
12,Spain,"13,914,811",,"121,760                                ",,"13,762,417",,"30,634",231,"471,036,328","46,719,142 "
13,Australia,"11,700,577",,"21,817                                ",,"11,668,002",,"10,758",41,"81,916,639","26,068,792 "
14,Vietnam,"11,620,708",+85,"43,206                                ",,"10,640,104",+2,"937,398",,"85,826,548","98,953,541 "
15,Taiwan,"10,239,998",,"19,005                                ",,"10,220,993",,0,,"30,742,304","23,888,595 "
16,Argentina,"10,056,300",,"130,514                                ",,"9,925,786",+506,0,363,"35,716,069","46,010,234 "
17,Netherlands,"8,610,372",,"22,992                                ",,"8,587,380",,0,53,"25,984,435","17,211,447 "
18,Mexico,"7,633,355",,"334,336                                ",,"6,885,378",,"413,641",N/A,"20,013,810","131,562,772 "
19,Iran,"7,612,578",+11,"146,295                                ",,"7,369,873","+1,185","96,410",8,"56,880,935","86,022,837 "
20,Indonesia,"6,812,127",+40,"161,879                                ",+3,"6,642,003",+220,"8,245",N/A,"114,158,919","279,134,505 "
21,Poland,"6,517,872",+2,"119,627                                ",,"5,335,940",,"1,062,305",53,"38,792,247","37,739,785 "
22,Colombia,"6,372,392",,"142,807                                ",,"6,190,683",,"38,902",342,"36,951,507","51,512,762 "
23,Greece,"6,101,379",,"37,089                                ",,"6,064,290",+861,0,115,"102,228,365","10,316,637 "
24,Austria,"6,081,287",,"22,542                                ",,"6,054,934",,"3,811",14,"211,273,524","9,066,710 "
25,Portugal,"5,592,410",,"26,885                                ",,"5,563,162",,"2,363",61,"46,139,518","10,140,570 "
26,Ukraine,"5,557,995",,"112,418                                ",,"5,445,577",,0,,"32,603,805","43,192,122 "
27,Chile,"5,288,374",,"64,497                                ",,"5,223,807",,70,10,"49,816,559","19,250,195 "
28,Malaysia,"5,116,265",,"37,152                                ",,"5,064,159",,"14,954",36,"68,365,713","33,181,072 "
29,Israel,"4,828,768",,"12,564                                ",,"4,798,473",,"17,731",21,"41,373,364","9,326,000 "
30,Belgium,"4,801,724",,"34,375                                ",,"4,765,387",,"1,962",43,"37,018,657","11,668,278 "
31,DPRK,"4,772,813",,74                                ,,"4,772,739",,0,,,"25,990,679 "
32,Thailand,"4,751,563",,"34,328                                ",,"4,692,636",,"24,599",N/A,"17,270,775","70,078,203 "
33,Canada,"4,688,830",,"52,860                                ",,"4,627,771",+625,"8,199",99,"66,343,123","38,388,419 "
34,Czechia,"4,642,755",+2,"42,811                                ",,"4,599,743",+23,201,,"57,233,504","10,736,784 "
35,Peru,"4,507,896",,"220,695                                ",,"4,287,201",,0,26,"38,753,114","33,684,208 "
36,Switzerland,"4,406,989",,"14,452                                ",,"4,391,486",,"1,051",39,"23,833,472","8,773,637 "
37,Philippines,"4,165,869",+370,"66,484                                ",,"4,092,539",+449,"6,846",162,"35,472,486","112,508,994 "
38,South Africa,"4,076,463",,"102,595                                ",,"3,912,506",,"61,362",192,"26,795,090","60,756,135 "
39,Romania,"3,407,485",,"68,233                                ",,"3,337,936",,"1,316",53,"27,657,936","19,031,335 "
40,Denmark,"3,182,266",+4,"8,754                                ",,"3,173,411",+3,101,4,"129,302,214","5,834,950 "
41,Hong Kong,"2,912,353",,"13,819                                ",,"2,893,532","+3,498","5,002",28,"76,127,725","7,604,299 "
42,Sweden,"2,712,743",,"24,536                                ",,"2,686,553",,"1,654",8,"19,500,873","10,218,971 "
43,Serbia,"2,544,001",,"18,057                                ",,"2,524,972",+88,972,,"13,022,084","8,653,016 "
44,Singapore,"2,481,404",,"1,727                                ",,"2,149,583",,"330,094",2,"24,756,666","5,943,546 "
45,Iraq,"2,465,545",,"25,375                                ",,"2,439,497",,673,21,"19,544,451","42,164,965 "
46,New Zealand,"2,419,839",+937,"4,533                                ",+3,"2,410,171","+1,097","5,135",,"7,768,604","4,898,203 "
47,Hungary,"2,203,171",,"48,881                                ",,"2,152,155",,"2,135",2,"11,394,556","9,606,259 "
48,Bangladesh,"2,042,422",,"29,462                                ",,"1,998,448",,"14,512",N/A,"15,254,399","167,885,689 "
49,Slovakia,"1,866,857",,"21,167                                ",,"1,845,690",,0,5,"7,432,749","5,460,193 "
50,Georgia,"1,844,789",,"17,092                                ",,"1,776,548",,"51,149",,"16,920,079","3,968,738 "
51,Jordan,"1,746,997",,"14,122                                ",,"1,731,007",,"1,868",59,"17,201,885","10,300,869 "
52,Ireland,"1,713,613",,"9,058                                ",,"1,703,596",,959,19,"13,083,449","5,020,199 "
53,Pakistan,"1,581,211",,"30,661                                ",,"1,538,689",,"11,861",2,"30,571,377","229,488,994 "
54,Norway,"1,485,627",,"5,566                                ",,"1,479,798",,263,20,"11,002,430","5,511,370 "
55,Finland,"1,482,363",,"9,974                                ",,"1,471,164",+80,"1,225",21,"12,101,220","5,554,960 "
56,Kazakhstan,"1,411,831",,"13,848                                ",,"1,383,020",,"14,963",24,"11,575,012","19,205,043 "
57,Slovenia,"1,344,247",+2,"7,100                                ",,"1,337,079",,68,8,"2,847,701","2,078,034 "
58,Lithuania,"1,321,444",+2,"9,692                                ",,"1,311,288",+56,464,,"10,464,337","2,661,708 "
59,Bulgaria,"1,309,093",,"38,426                                ",,"1,269,219",,"1,448",22,"11,278,772","6,844,597 "
60,Morocco,"1,275,136",,"16,297                                ",,"1,256,151",,"2,688",3,"13,001,033","37,772,756 "
61,Croatia,"1,273,991",,"18,273                                ",,"1,255,569",,149,6,"5,608,522","4,059,286 "
62,Guatemala,"1,261,573",,"20,208                                ",,"1,236,171",,"5,194",5,"7,460,549","18,584,039 "
63,Lebanon,"1,238,552",,"10,936                                ",,"1,087,587",,"140,029",74,"4,795,578","6,684,849 "
64,Costa Rica,"1,235,961",,"9,386                                ",,"860,711",,"365,864",52,"4,659,757","5,182,354 "
65,Bolivia,"1,203,252",,"22,392                                ",,"1,171,400",,"9,460",220,"2,710,261","11,992,656 "
66,Tunisia,"1,153,361",,"29,423                                ",,N/A,N/A,N/A,44,"5,013,383","12,046,656 "
67,Cuba,"1,114,871",,"8,530                                ",,"1,106,225",,116,2,"14,345,940","11,305,652 "
68,UAE,"1,067,030",,"2,349                                ",,"1,054,525",,"10,156",,"200,732,262","10,081,785 "
69,Ecuador,"1,062,275",,"36,019                                ",,"1,026,256",,0,759,"3,082,403","18,113,361 "
70,Panama,"1,042,631",,"8,634                                ",,"1,032,845",,"1,152",16,"7,697,189","4,446,964 "
71,Uruguay,"1,038,774",,"7,634                                ",,"1,030,944",,196,18,"6,114,822","3,496,016 "
72,Mongolia,"1,010,034",,"2,179                                ",,"1,007,855",,0,192,"4,030,048","3,378,078 "
73,Nepal,"1,003,369",,"12,031                                ",,"991,322",,16,,"6,047,766","30,225,582 "
74,Belarus,"994,037",,"7,118                                ",,"985,592",,"1,327",,"13,646,641","9,432,800 "
75,Latvia,"978,157",,"6,386                                ",,"971,406",,365,13,"7,877,860","1,848,837 "
76,Saudi Arabia,"841,469",,"9,646                                ",,"827,923",,"3,900",66,"45,481,735","35,844,909 "
77,Azerbaijan,"831,947",,"10,283                                ",,"821,652",,12,,"7,643,678","10,300,205 "
78,Paraguay,"811,307",,"19,965                                ",,N/A,N/A,N/A,7,"2,657,506","7,305,843 "
79,Bahrain,"722,432",,"1,566                                ",,"720,800",,66,3,"10,873,971","1,783,983 "
80,Sri Lanka,"672,542",,"16,879                                ",,"655,658",,5,,"6,486,117","21,575,842 "
